index,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc,Magnesium,Phosphorus,Potassium,Vitamin E,Vitamin K
Apples,617.893,1.875,20.43,0,46.56,147.817,0,0.9,0.6625,0.0875,0,0,0.2131,0,0.1964,46.95,91.83,953.1,0,0
Avocado,1600,20,70,810,120,85,6,17.38,1.3,0.67,70,0,2.57,100,6,0,0,0,0,0
Beans (dry),1700,98,60,500,580,325,30,7,1.2,3.4,0,0,2.15,10,8,0,0,0,0,0
Beans (fresh),3470,214,160,5250,1130,626,51,11.74,2.12,7.13,0,0,4.74,63,23,0,0,0,0,0
Beef,2510,182,0,60,70,0,19,31.5,1.6,0.9,0,28.9,3.8,0,37,0,0,0,0,0
Beef (roasted),2910,264,0,70,90,0,27,37.2,2.2,0.9,0,24.7,3.4,0,60,0,0,0,0,0
Beef Liver,1350,204,0,2900,50,39,49,131.75,27.55,1.89,49680,593,10.83,13,40,0,0,0,0,0
Beef Offal,850,120.7,0,50,690,0,5.9,8.81,0.64,0,0,13.9,0.14,0,14.2,0,0,0,0,0
Biscuits,4460,69,10,1030,430,741,28,34.7,3.26,3.5,0,0.5,0.22,0,6,0,0,0,0,0
Bogoya,890,11,30,200,50,228,3,6.65,0.73,0.31,30,0,3.67,87,2,0,0,0,0,0
Bongo,640,33,0,50,1620,45,1,1,1.5,0.2,370,4.4,0.36,0,6,0,0,0,0,0
Bread,2660,76,20,1110,1510,506,37,43.85,3.31,4.55,0,0,0.84,0,7,0,0,0,0,0
Butter,0,0,0,0,140,0,0.3,0,0,0,0,0,0,0,0.7,16,190,190,0,0
Cabbage (red),310,14,20,180,450,74,8,4.18,0.69,0.64,560,0,2.09,570,2,0,0,0,0,0
Cabbage (green),250,13,30,430,400,58,5,2.34,0.4,0.61,50,0,1.24,366,2,0,0,0,0,0
Cakes,3570,54,10,380,1300,572,15,15.33,2.42,1.86,150,0.8,0.21,2,3,0,0,0,0,0
Carrots,410,9,30,190,330,96,3,9.83,0.58,0.66,8350,0,1.38,59,2,0,0,0,0,0
Cassava (dry),3140,26,40,360,310,766,19,14,0.5,3.1,70,0,7,720,7,0,0,0,0,0
Cassava (fresh),1600,14,20,270,160,381,3,8.54,0.48,0.87,10,0,0.88,206,3,0,0,0,0,0
Chapati,2750,91,20,240,860,557,14,21.42,0.97,2.67,0,0,0.34,0,8,0,0,0,0,0
Cheese,16400,270,0,90,8900,14.4,1.3,0.6,3.03,0.11,2920,30.2,0.7,0,43.7,334,5740,710,6,14
Chicken (broiler),9000,186,0,60,110,0,9,68.01,1.2,0.6,410,3.1,3.5,16,13.1,200,1470,1890,3,15
Chicken,2150,186,0,60,110,0,9,68.01,1.2,0.6,420,3.1,3.5,16,13,0,0,0,0,0
Chicken (roasted),2390,273,0,50,150,0,13,84.87,1.68,0.63,480,3,4,0,19,0,0,0,0,0
Coffee,80,3,0,0,20,1.7,0.2,8,0,0.2,0,0,0,0,0.2,40,30,500,0,0
Coffee (other),20,1.2,0,20,20,0,0.1,1.91,0.76,0.14,0,0,0.01,0,0.2,30,30,490,0.1,1
Cooking Oil,8840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooking Oil (refined),36990,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,81.8,1839
Cooking Oil (unrefined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornflakes,3650,64,35,3270,40,795.2,280.1,129.08,10.22,10.27,100,18,14.4,0,6,290,890,1280,1.1,0
Cucumber,159.075,6.25,0,0,163.4,29.525,0,0,0,0,0,0,0,0,2.04,101.1,232.3,1696,0,240
Dodo,230,25,0,850,2150,40,23,6.58,1.58,0.27,1460,0,1.92,433,9,0,0,0,0,0
Donuts,18150,53.1,17,920,400,470.6,25.3,29.1,3.01,3.9,40,0.6,0.5,0,5,170,2600,1340,19.9,98
Eggplant,240,10,30,220,90,57,2,6.49,0.37,0.39,10,0,0.84,22,2,0,0,0,0,0
Eggs,1430,126,0,470,530,8,18,0.7,4.78,0.69,1400,12.9,1.43,0,11,0,0,0,0,0
Eggs (white yolk),480,109,0,40,70,7,1,1.05,4.39,0.04,0,0.9,0.05,0,0,0,0,0,0,0
Eggs (yellow yolk),3170,159,0,1460,1290,36,27,0.24,5.28,1.76,3810,19.5,3.5,0,23,0,0,0,0,0
Fresh Fish,1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5,0,0,0,0,0
