t,m,j,u,price
2009-10,Central,Beans (dry),Kg,1482.902357
2009-10,Central,Beans (fresh),Kg,1353.534119
2009-10,Central,Beef,Kg,4508.333333
2009-10,Central,Beer,Kg,3689.396825
2009-10,Central,Bread,Kg,2264.738292
2009-10,Central,Cabbage (green),Kg,1886.180198
2009-10,Central,Cassava (dry),Kg,910.7476633
2009-10,Central,Cassava (fresh),Kg,988.4936659
2009-10,Central,Chicken,Kg,31586.41975
2009-10,Central,Cigarettes,Kg,3162.777778
2009-10,Central,Coffee,Kg,3465.533331
2009-10,Central,Cooking Oil,Kg,1383.920946
2009-10,Central,Dodo,Kg,458.1776272
2009-10,Central,Dry/Smoked Fish,Kg,2662.564092
2009-10,Central,Eggs,Kg,744.5754717
2009-10,Central,Eggs,Tray of 30 eggs,
2009-10,Central,Fresh Fish,Kg,3801.680683
2009-10,Central,Ghee,Kg,12484.06537
2009-10,Central,Goat Meat,Kg,4860
2009-10,Central,Ground Nuts (in shell),Kg,1275
2009-10,Central,Ground Nuts (pounded),Kg,3278.265732
2009-10,Central,Ground Nuts (shelled),Kg,2396.491227
2009-10,Central,Infant Formula,Kg,21495.55556
2009-10,Central,Irish Potatoes,Kg,991.7159763
2009-10,Central,Maize (cobs),Kg,779.2372198
2009-10,Central,Maize (flour),Kg,1258.016949
2009-10,Central,Maize (grains),Kg,545.7142857
2009-10,Central,Mangos,Kg,619.6153846
2009-10,Central,"Margarine, Butter, etc",Kg,4782.539683
2009-10,Central,Matoke,Kg,1017.352039
2009-10,Central,Millet,Kg,1588.888889
2009-10,Central,Onions,Kg,512.4340611
2009-10,Central,Oranges,Kg,710.3365384
2009-10,Central,Other Alcoholic Drinks,Kg,3737.871148
2009-10,Central,Other Drinks,Kg,1162.20238
2009-10,Central,Other Foods,Kg,
2009-10,Central,Other Fruits,Kg,2790.662651
2009-10,Central,Other Juice,Kg,
2009-10,Central,Other Meat,Kg,4117.647059
2009-10,Central,Other Tobacco,Kg,9660.15898
2009-10,Central,Other Vegetables,Kg,502.778454
2009-10,Central,Passion Fruits,Kg,881.4433683
2009-10,Central,Peas,Kg,2471.052632
2009-10,Central,Pineapple,Kg,350
2009-10,Central,Pork,Kg,3876.923077
2009-10,Central,Restaurant (food),Kg,
2009-10,Central,Restaurant (soda),Kg,2157.088356
2009-10,Central,Rice,Kg,2161.558441
2009-10,Central,Salt,Kg,1621.395063
2009-10,Central,Sim Sim,Kg,2484.615385
2009-10,Central,Sorghum,Kg,979.9999974
2009-10,Central,Sugar,Kg,2463.968579
2009-10,Central,Sweet Bananas,Kg,242.2891304
2009-10,Central,Sweet Potatoes (dry),Kg,912.5
2009-10,Central,Sweet Potatoes (fresh),Kg,892.6176845
2009-10,Central,Tea,Kg,1615.24144
